100 500
89 69 15
69 11 12
42 3 17
15 58 19
98 74 4
5 93 15
9 91 17
40 69 8
71 84 20
0 42 2
31 20 17
4 3 10
75 54 15
33 48 1
40 96 2
37 27 16
22 38 13
46 5 14
85 94 4
51 92 16
86 68 15
43 97 3
71 52 3
48 50 11
29 46 20
9 77 5
91 39 3
29 64 5
33 43 9
34 8 20
54 84 19
45 26 18
45 44 11
68 27 13
